date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:15:28	12248/12248	---MCZ	200	added ('OK')	text/html	etag:W/%226033f96c-ada%22	https://www.esrl.noaa.gov/research/reviews/	C:/My%20Web%20Sites/esrl/www.esrl.noaa.gov/research/reviews/index.html	(from https://www.esrl.noaa.gov/)
12:15:28	162/162	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2020%20Jul%202021%2019:15:29%20GMT	https://www.esrl.noaa.gov/about	C:/My%20Web%20Sites/esrl/www.esrl.noaa.gov/about	(from https://www.esrl.noaa.gov/)
12:15:28	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2020%20Jul%202021%2019:15:29%20GMT	https://www.esrl.noaa.gov/csl/research/	C:/My%20Web%20Sites/esrl/www.esrl.noaa.gov/csl/research/index.html	(from https://www.esrl.noaa.gov/)
12:15:28	709862/709862	---M--	200	added ('OK')	image/png	etag:%226042a0b4-ad4e6%22	https://www.esrl.noaa.gov/img/csl-noaa-p3-by-cires.png	C:/My%20Web%20Sites/esrl/www.esrl.noaa.gov/img/csl-noaa-p3-by-cires.png	(from https://www.esrl.noaa.gov/)
12:15:29	642581/642581	---M--	200	added ('OK')	image/png	etag:%226042ab83-9ce15%22	https://www.esrl.noaa.gov/img/gml-south-pole-by-patrick-cullis-cires.png	C:/My%20Web%20Sites/esrl/www.esrl.noaa.gov/img/gml-south-pole-by-patrick-cullis-cires.png	(from https://www.esrl.noaa.gov/)
12:15:29	715008/715008	---M--	200	added ('OK')	image/png	etag:%226042a0b4-ae900%22	https://www.esrl.noaa.gov/img/gsl-clouds-by-noaa-psl.png	C:/My%20Web%20Sites/esrl/www.esrl.noaa.gov/img/gsl-clouds-by-noaa-psl.png	(from https://www.esrl.noaa.gov/)
12:15:29	34144/34144	---MCZ	200	added ('OK')	text/html	etag:W/%2260b012a6-5fa9%22	https://www.esrl.noaa.gov/news/	C:/My%20Web%20Sites/esrl/www.esrl.noaa.gov/news/index.html	(from https://www.esrl.noaa.gov/)
12:15:29	14916/14916	---MCZ	200	added ('OK')	text/html	etag:W/%225fb9a15e-1476%22	https://www.esrl.noaa.gov/outreach/	C:/My%20Web%20Sites/esrl/www.esrl.noaa.gov/outreach/index.html	(from https://www.esrl.noaa.gov/)
12:15:33	687070/687070	---M--	200	added ('OK')	image/png	etag:%226042ab4c-a7bde%22	https://www.esrl.noaa.gov/img/psl-lake-powell-by-bradley-udall.png	C:/My%20Web%20Sites/esrl/www.esrl.noaa.gov/img/psl-lake-powell-by-bradley-udall.png	(from https://www.esrl.noaa.gov/)
12:15:34	17237/17237	---MCZ	200	added ('OK')	text/html	etag:W/%225f90b67b-1e3b%22	https://www.esrl.noaa.gov/outreach/8th-grade-science-days/	C:/My%20Web%20Sites/esrl/www.esrl.noaa.gov/outreach/8th-grade-science-days/index.html	(from https://www.esrl.noaa.gov/)
12:15:34	15181/15181	---MCZ	200	added ('OK')	text/html	etag:W/%226040147a-1599%22	https://www.esrl.noaa.gov/contact/	C:/My%20Web%20Sites/esrl/www.esrl.noaa.gov/contact/index.html	(from https://www.esrl.noaa.gov/)
12:15:34	16874/16874	---MCZ	200	added ('OK')	text/html	etag:W/%225fb9a1ab-1c30%22	https://www.esrl.noaa.gov/staff/	C:/My%20Web%20Sites/esrl/www.esrl.noaa.gov/staff/index.html	(from https://www.esrl.noaa.gov/)
12:15:34	12835/12835	---MCZ	200	added ('OK')	text/html	etag:W/%225d65af0a-d1f%22	https://www.esrl.noaa.gov/survey/	C:/My%20Web%20Sites/esrl/www.esrl.noaa.gov/survey/index.html	(from https://www.esrl.noaa.gov/)
12:15:34	129916/129916	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%225d65aef9-1fb7c%22	https://www.esrl.noaa.gov/css/fontawesome-5.8.1/webfonts/fa-brands-400.eot	C:/My%20Web%20Sites/esrl/www.esrl.noaa.gov/css/fontawesome-5.8.1/webfonts/fa-brands-400.eot	(from https://www.esrl.noaa.gov/css/fontawesome-5.8.1/css/all.css)
12:15:34	129916/129916	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%225d65aef9-1fb7c%22	https://www.esrl.noaa.gov/css/fontawesome-5.8.1/webfonts/fa-brands-400.eot?	C:/My%20Web%20Sites/esrl/www.esrl.noaa.gov/css/fontawesome-5.8.1/webfonts/fa-brands-400d41d.eot	(from https://www.esrl.noaa.gov/css/fontawesome-5.8.1/css/all.css)
12:15:34	74768/74768	---M--	200	added ('OK')	font/woff2	etag:%225d65aef9-12410%22	https://www.esrl.noaa.gov/css/fontawesome-5.8.1/webfonts/fa-brands-400.woff2	C:/My%20Web%20Sites/esrl/www.esrl.noaa.gov/css/fontawesome-5.8.1/webfonts/fa-brands-400.woff2	(from https://www.esrl.noaa.gov/css/fontawesome-5.8.1/css/all.css)
12:15:35	87688/87688	---M--	200	added ('OK')	font/woff	etag:%225d65aef9-15688%22	https://www.esrl.noaa.gov/css/fontawesome-5.8.1/webfonts/fa-brands-400.woff	C:/My%20Web%20Sites/esrl/www.esrl.noaa.gov/css/fontawesome-5.8.1/webfonts/fa-brands-400.woff	(from https://www.esrl.noaa.gov/css/fontawesome-5.8.1/css/all.css)
12:15:35	129612/129612	---M--	200	added ('OK')	application/octet-stream	etag:%225d65aef9-1fa4c%22	https://www.esrl.noaa.gov/css/fontawesome-5.8.1/webfonts/fa-brands-400.ttf	C:/My%20Web%20Sites/esrl/www.esrl.noaa.gov/css/fontawesome-5.8.1/webfonts/fa-brands-400.ttf	(from https://www.esrl.noaa.gov/css/fontawesome-5.8.1/css/all.css)
12:15:35	34388/34388	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%225d65aef9-8654%22	https://www.esrl.noaa.gov/css/fontawesome-5.8.1/webfonts/fa-regular-400.eot	C:/My%20Web%20Sites/esrl/www.esrl.noaa.gov/css/fontawesome-5.8.1/webfonts/fa-regular-400.eot	(from https://www.esrl.noaa.gov/css/fontawesome-5.8.1/css/all.css)
12:15:35	694583/694583	---M--	200	added ('OK')	image/svg+xml	etag:%225d65aef9-a9937%22	https://www.esrl.noaa.gov/css/fontawesome-5.8.1/webfonts/fa-brands-400.svg	C:/My%20Web%20Sites/esrl/www.esrl.noaa.gov/css/fontawesome-5.8.1/webfonts/fa-brands-400.svg	(from https://www.esrl.noaa.gov/css/fontawesome-5.8.1/css/all.css)
12:15:35	34388/34388	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%225d65aef9-8654%22	https://www.esrl.noaa.gov/css/fontawesome-5.8.1/webfonts/fa-regular-400.eot?	C:/My%20Web%20Sites/esrl/www.esrl.noaa.gov/css/fontawesome-5.8.1/webfonts/fa-regular-400d41d.eot	(from https://www.esrl.noaa.gov/css/fontawesome-5.8.1/css/all.css)
12:15:36	13552/13552	---M--	200	added ('OK')	font/woff2	etag:%225d65aef9-34f0%22	https://www.esrl.noaa.gov/css/fontawesome-5.8.1/webfonts/fa-regular-400.woff2	C:/My%20Web%20Sites/esrl/www.esrl.noaa.gov/css/fontawesome-5.8.1/webfonts/fa-regular-400.woff2	(from https://www.esrl.noaa.gov/css/fontawesome-5.8.1/css/all.css)
12:15:36	16804/16804	---M--	200	added ('OK')	font/woff	etag:%225d65aef9-41a4%22	https://www.esrl.noaa.gov/css/fontawesome-5.8.1/webfonts/fa-regular-400.woff	C:/My%20Web%20Sites/esrl/www.esrl.noaa.gov/css/fontawesome-5.8.1/webfonts/fa-regular-400.woff	(from https://www.esrl.noaa.gov/css/fontawesome-5.8.1/css/all.css)
12:15:36	34092/34092	---M--	200	added ('OK')	application/octet-stream	etag:%225d65aef9-852c%22	https://www.esrl.noaa.gov/css/fontawesome-5.8.1/webfonts/fa-regular-400.ttf	C:/My%20Web%20Sites/esrl/www.esrl.noaa.gov/css/fontawesome-5.8.1/webfonts/fa-regular-400.ttf	(from https://www.esrl.noaa.gov/css/fontawesome-5.8.1/css/all.css)
12:15:36	144451/144451	---M--	200	added ('OK')	image/svg+xml	etag:%225d65aef9-23443%22	https://www.esrl.noaa.gov/css/fontawesome-5.8.1/webfonts/fa-regular-400.svg	C:/My%20Web%20Sites/esrl/www.esrl.noaa.gov/css/fontawesome-5.8.1/webfonts/fa-regular-400.svg	(from https://www.esrl.noaa.gov/css/fontawesome-5.8.1/css/all.css)
